app_id,country,review_id,author,title,text,rating,version,date,source,language
1459969523,us,13154786408,Chris21625,Best,10/10,5,6.00.0,2025-09-18 17:15:27,rss,
1459969523,us,13154900002,Kyle Wiering,"Subscription scam app, extreme dark patterns.",If you enter payment details you'll get a 50 charge after a couple of days. It will renew monthly as well. Extreme dark patterns trying to cancel it as well. Stay away.,1,6.00.0,2025-09-18 17:58:48,rss,
1459969523,us,13156854104,Momma-Jess,Loving this app,I had respect for this app the moment they allow a single momma to be able to join for 1$ ultimately having the opportunity to pay as I go for things I feel I may want to try out and having that opportunity to find the things that actually work for me specifically! How can you go wrong with that!?,4,6.00.0,2025-09-19 06:06:50,rss,
1459969523,us,13163073921,Kskeptic,Interesting App,"A lot to discover, still figuring out how accurate some of the readings etc. are but it has been very interesting.",4,6.00.0,2025-09-20 14:17:48,rss,
1459969523,us,13164205300,Myles Belle,Payment method,I can’t cancel my subscription with the app and it’s very frustrating it’s trying to take 40 something bucks out my account and it’s not doing it since I moved my loved out of that account but still it’s my main account. On google pay Gmail and everything it’s saying that I have no subscriptions or any but the app keeps charging me on cash app please reach out to me about this,1,6.00.0,2025-09-20 21:19:21,rss,
1459969523,us,13164290043,Tryinitout62,A paid service should get more perks,The 3 min reading was very accurate. However the app calculated my moon sign incorrectly.,3,6.00.0,2025-09-20 21:52:43,rss,
1459969523,us,13164754175,Vivxchips,Insightful app,Had a convo with a psychic on the app. He was very insightful and detailed about my reading. Would totally recommend this app,5,6.00.0,2025-09-21 00:49:11,rss,
1459969523,us,13166616402,BeerFaery,Thieves and liars,"Do not sign up for this app. They will not let you access it and they will continue to keep charging you. If you reach out for assistance to try to resolve it and try to get into the app, you will get no response. The reviews here are bull, just check Facebook reviews. They are stealing money from people and Apple is just letting them.",1,6.00.0,2025-09-21 09:46:08,rss,
1459969523,us,13169948347,casino-kleeweinpmy,Standard,Provides typical guidance with occasional moments of interesting perspective.,5,6.01.0,2025-09-22 05:46:59,rss,
1459969523,us,13171305146,SarahAC85,Palm reading,This was a very informative reading. I am quite fascinated by palm readings and am interested in learning more about palmistry after having this done,4,6.01.0,2025-09-22 12:01:08,rss,
1459969523,us,13172162562,Lady j 87,Great,Enjoy the insight given,5,6.01.0,2025-09-22 17:06:29,rss,
1459969523,us,13176776407,Hazevae,Great,Very good,5,6.01.0,2025-09-23 19:18:39,rss,
1459969523,us,13178587096,01Jully,Payment,I tried to cancel several times and it keeps charging I had to reverse the payment through the bank to try to solve it. Terrible assistance.,1,6.01.0,2025-09-24 06:25:51,rss,
1459969523,us,13179419150,EMILYUUUUUE,Incorrect and a waste of time,This app can’t even give you the correct moon phase that day. Don’t bother. You can read incorrect information ANYWHERE.,1,6.01.0,2025-09-24 10:05:25,rss,
1459969523,us,13180659927,Muzik movez m3,Reading with Sophia,She is wonderful. She shoes me things I wanted to know.,5,6.01.0,2025-09-24 16:58:55,rss,
1459969523,us,13181282212,Tram trade,Insightful,Nebula psychics are so helpful and insightful. They really make me feel better about my situation.,5,6.01.0,2025-09-24 20:43:54,rss,
1459969523,us,13181598155,BigMamaKaee,Love this app,Love the people that help me get clarification. Only thing I wish is the timing being a little longer . Runs pretty quickly !!! Love it !!,5,6.01.0,2025-09-24 22:47:20,rss,
1459969523,us,13181888073,Kam Streetmvrbq,Love,Monthly horoscope predicted my unexpected romantic encounter! Crazy accurate.,5,6.01.0,2025-09-25 00:42:22,rss,
1459969523,us,13182021839,SheSaidSweetSeaSalt,My Palm reading was phenomenal!!,"I really enjoyed the lay out of the Palm reading. I am new to this but I’m on a mission to finally create a space for myself and to learn how to love myself for who I am, it only took me 33 years lol I can’t wait to learn more about how my stars aline out there in the galaxy and how it applies to me personally. I’m mostly excited to finally get to know myself for who I am so I can have the confidence I never had before. Thank you Nebula for giving me this boost of excitement and courage to meet someone I have always wanted to know—-MYSELF. 💚💙",5,6.01.0,2025-09-25 01:34:19,rss,
